TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,71.19289,100944.67,100945.63,300.44955,26347.58,7.690008,1.5608826,7.2345867,1.3203564
20210101020000,0.0,70.03963,101047.14,101041.4,300.4762,26511.076,8.010822,1.5928669,7.508897,1.302742
20210101030000,0.0,69.186325,101144.55,101140.76,300.4701,26620.824,8.030701,1.9741421,7.46795,1.6503124
20210101040000,0.0,68.74071,101173.92,101169.94,300.3903,26689.576,7.109625,2.478508,6.734602,2.2077732
20210101050000,0.0,67.86124,101181.3,101176.234,300.45892,26808.084,5.6178875,3.0854664,5.2513113,2.8459873
20210101060000,0.0,66.75,101138.42,101131.97,300.427,26945.21,4.9058228,1.8158855,4.5766373,1.6398506
20210101070000,0.0,63.9992,101017.3,101014.53,300.8305,27252.318,3.8442307,2.110941,3.4853096,2.0034847
20210101080000,0.0,62.745605,100902.92,100907.45,300.97815,27382.486,1.8004684,2.549242,1.4723244,2.4630604
20210101090000,0.0,65.10725,100842.8,100846.15,300.76794,27134.785,0.62908936,3.1774578,0.7980623,3.1663342
20210101100000,0.0,67.53215,100828.14,100825.36,300.5289,26853.445,2.1350079,2.9897804,2.1636267,2.9206352
20210101110000,0.0,67.96088,100855.266,100848.94,300.56,26778.037,2.1634464,2.6520386,2.1568527,2.5282192
20210101120000,0.0,69.55279,100875.266,100865.52,300.8119,26553.82,1.0773201,1.9227467,1.015235,1.8570919
20210101130000,0.0,68.78447,100941.89,100937.49,300.93555,26694.842,0.9221382,0.93704224,0.7781601,0.8845711
20210101140000,0.0,69.87107,101024.42,101023.78,301.31354,26544.514,4.2510033,0.36906052,3.9533768,0.36435318
20210101150000,0.0,69.82642,101053.42,101060.75,301.57217,26545.16,7.8840046,0.044067383,7.3289394,0.10753441
20210101160000,0.0,69.70039,101075.55,101087.93,301.49554,26558.342,8.080447,0.8157902,7.5488377,0.66957283
20210101170000,0.0,69.28514,101066.17,101064.086,301.38043,26622.014,7.8642693,0.83042717,7.412266,0.6415539
20210101180000,0.0,66.43916,100999.14,100999.02,301.3147,26981.893,6.2581415,1.0771751,6.0172443,0.83249474
20210101190000,0.0,65.9778,100989.016,100984.56,301.23557,27035.0,5.7727976,1.310421,5.639717,1.0444012
20210101200000,0.0,64.061844,100930.89,100925.81,301.19702,27246.842,4.9928637,2.2522945,4.8761272,1.9733868
20210101210000,0.0,63.10219,100893.89,100889.87,301.03357,27350.516,3.9888391,2.735176,3.9202213,2.5392475
20210101220000,0.0,63.028107,100891.766,100896.06,300.8648,27349.814,3.8215523,2.4333076,3.7706137,2.2461872
20210101230000,0.0,64.280556,100895.05,100895.77,300.5265,27221.09,3.852559,2.4203053,3.7391882,2.2180328
20210102000000,0.0,64.53512,100878.89,100873.61,301.2252,27184.502,2.9590797,1.7195759,3.0234585,1.5933495
20210102010000,0.0,64.27523,100939.89,100946.71,301.0589,27212.621,3.1163197,1.2865524,3.116765,1.1933537
20210102020000,0.0,64.70111,101058.17,101060.44,300.9333,27167.04,3.4089413,1.3704624,3.3890066,1.2740288
20210102030000,0.0,64.93826,101138.05,101141.73,300.763,27149.0,3.0884895,2.0503483,3.1061592,1.9202385
20210102040000,0.0,64.94519,101170.05,101159.44,300.60986,27143.047,2.0639496,2.2046776,2.0561628,2.1226196
20210102050000,0.0,64.41844,101155.8,101146.61,300.5503,27207.434,0.7868986,2.2396088,0.8565264,2.149006
20210102060000,0.0,64.16701,101079.55,101077.8,300.53012,27235.705,1.7942266,1.0445557,1.8358736,0.9635391
20210102070000,0.0,64.84591,100970.17,100973.55,300.41907,27156.924,0.7389164,1.3144455,0.74617386,1.3065472
20210102080000,0.0,64.35163,100860.05,100867.12,300.56805,27212.443,1.2332878,1.4595814,1.1473513,1.325531
20210102090000,0.0,64.10019,100758.3,100759.04,300.97778,27236.055,2.4138842,1.5483952,2.3655186,1.4881935
20210102100000,0.0,64.13994,100726.05,100730.23,301.31854,27235.525,3.2819796,1.4409466,3.2406816,1.3456764
20210102110000,0.0,64.02046,100747.42,100755.38,301.61176,27258.39,3.2715054,0.97527885,3.1920853,0.8753357
20210102120000,0.0,63.805977,100751.34,100753.19,301.87103,27276.229,1.9222107,0.42855263,1.9236565,0.4577427
20210102130000,0.0,63.623363,100793.17,100808.734,301.9313,27290.488,1.1681404,0.27571106,1.134058,0.1996479
20210102140000,0.0,64.00006,100895.89,100893.87,301.91266,27250.904,0.056325912,0.46969223,0.092695236,0.42683792
20210102150000,0.0,67.49852,100951.67,100954.32,301.89154,26817.074,1.7111149,1.1140575,1.5705357,1.0714741
20210102160000,0.0,73.40468,100971.42,100972.2,301.7537,25979.0,3.4090157,1.6357269,3.1042328,1.6400318
20210102170000,0.0,77.658615,100953.67,100946.016,301.54272,25194.0,3.7592564,1.1726036,3.5722847,1.1979942
20210102180000,0.0,69.43555,100946.42,100948.4,301.42462,26593.0,0.34457016,0.38848305,0.36225796,0.41127586
20210102190000,0.0,70.08322,100900.92,100900.59,301.36273,26509.0,0.5727272,0.3834839,0.59768677,0.41184998
20210102200000,0.0,71.08986,100836.47,100843.83,301.26385,26359.0,0.7211046,0.847826,0.72965527,0.85030746
20210102210000,0.0,72.03964,100780.8,100782.15,301.20575,26235.969,0.26595402,1.1461716,0.27729034,1.147398
20210102220000,0.0,72.19839,100779.3,100785.336,301.1415,26191.229,0.86727715,0.36296844,0.8183403,0.4428091
20210102230000,0.0,71.463486,100789.8,100781.234,301.11542,26304.0,0.61656094,0.09427452,0.65283966,0.01585579
20210103000000,0.0,72.89817,100779.39,100774.086,301.1487,26083.51,0.9172554,0.21143532,0.9369335,0.2493248
20210103010000,0.0,72.74164,100864.89,100870.61,301.19937,26119.13,0.3609867,0.45669365,0.3619728,0.48771858
20210103020000,0.0,72.6352,100950.016,100953.73,301.20953,26138.271,0.16045284,0.8167076,0.14430523,0.8460398
20210103030000,0.0,72.76386,101029.89,101027.26,301.25037,26101.0,1.2077837,0.8994942,1.2863121,0.89374256
20210103040000,0.0,73.522125,101044.17,101049.49,301.23523,25977.0,2.1024437,0.7376251,2.1474028,0.81159973
20210103050000,0.0,73.3665,101026.89,101028.414,301.18884,26002.29,2.2382593,0.067279816,2.210763,0.12466812
20210103060000,0.0,69.09034,100971.92,100973.62,301.62122,26656.71,0.7817135,0.31172562,0.79737663,0.24019718
20210103070000,0.0,69.13566,100880.17,100882.59,301.56647,26631.014,0.7458315,0.08888626,0.69974804,0.10880661
20210103080000,0.0,71.138824,100767.64,100765.3,301.53613,26374.31,2.0183067,0.60795975,1.9430637,0.60521984
20210103090000,0.0,72.24993,100704.516,100697.34,301.52536,26179.71,2.780467,1.1776314,2.6878004,1.1797848
20210103100000,0.0,73.00193,100691.69,100691.484,301.53146,26072.848,3.0872135,1.1617069,2.9870996,1.163167
20210103110000,0.0,73.33177,100701.64,100705.664,301.5336,26008.113,3.207737,0.6915531,3.1121645,0.6951103
20210103120000,0.0,72.63661,100698.69,100695.0,301.95517,26139.047,2.5450306,0.97681236,2.5403137,0.88644886
20210103130000,0.0,72.908775,100742.06,100744.44,301.9557,26080.033,2.1988058,1.1372299,2.1982603,1.011467
20210103140000,0.0,73.28107,100808.19,100810.28,301.96033,26030.092,2.048935,1.0976257,2.0153484,1.0720825
20210103150000,0.0,73.388596,100890.266,100883.22,301.97748,26002.273,1.7946377,1.2555275,1.7910118,1.1904888
20210103160000,0.046875,73.68301,100903.766,100904.57,301.91925,25966.531,1.089222,1.2509708,1.0872583,1.2003336
20210103170000,0.25,74.702644,100911.44,100914.52,301.85083,25787.547,0.9270935,0.8632488,0.84760666,0.85518265
20210103180000,2.359375,75.03736,100896.016,100891.984,301.38943,25715.182,2.4614925,0.38887978,2.3264675,0.4156227
20210103190000,0.1875,73.60995,100876.8,100868.73,301.45184,25976.479,2.293522,0.4558735,2.2184877,0.4566517
20210103200000,0.0,72.91002,100797.266,100786.05,301.4186,26080.045,1.8139496,0.2335186,1.7657843,0.23862076
20210103210000,0.0,73.40467,100743.516,100738.73,301.34964,26010.0,1.9855518,0.21943474,1.9605808,0.19384003
20210103220000,0.0,73.78281,100718.39,100712.97,301.28204,25949.629,1.2047215,0.67053986,1.1868076,0.63643074
20210103230000,0.015625,74.00437,100764.516,100761.46,301.24713,25901.18,0.78284645,0.5112152,0.780591,0.48934555
20210104000000,0.203125,73.74116,100800.766,100801.29,301.3332,25940.074,0.06906891,0.8904991,0.07472229,0.8735199
20210104010000,0.015625,74.356705,100891.39,100881.484,301.30804,25840.248,0.9380703,0.8886223,0.95976734,0.88816166
20210104020000,0.625,76.16585,100980.14,100975.195,301.16956,25499.355,2.6096764,0.6905594,2.6082554,0.6734648
20210104030000,0.0625,77.452324,101038.17,101050.11,301.15353,25228.617,4.296726,0.3270092,4.1467323,0.27205467
20210104040000,0.0,77.745865,101061.516,101064.055,301.11133,25189.234,5.826977,0.13200569,5.522439,0.051071167
20210104050000,0.0,77.463104,101005.016,101007.65,301.0645,25244.258,6.039755,0.4556465,5.691427,0.33343315
20210104060000,0.0,74.711395,100903.89,100908.29,301.8308,25772.633,8.996508,1.1192379,8.178744,0.87766266
20210104070000,0.0,73.09659,100823.39,100816.08,302.2042,26059.102,7.786087,1.920496,7.06301,1.624156
20210104080000,0.0,72.71999,100722.19,100716.44,302.34482,26119.209,5.90539,1.7250671,5.312109,1.5343056
20210104090000,0.0,73.48193,100671.19,100673.77,302.31195,25984.264,3.7707272,2.1573734,3.3805485,2.0356693
20210104100000,3.515625,75.559616,100682.31,100674.05,301.58707,25623.744,2.1113653,2.9563313,1.8068895,2.8010302
20210104110000,0.578125,76.166664,100772.31,100762.5,301.522,25505.408,0.36828613,2.534357,0.48729324,2.4336987
20210104120000,0.265625,75.17372,100783.72,100797.625,302.24,25669.07,2.41333,1.8064995,2.2689085,1.5814505
