TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,77.94289,100976.67,100989.63,299.1058,25091.58,9.518133,7.2952576,8.172087,5.9141064
20210101020000,0.0,77.35213,101063.14,101085.4,299.1012,25223.076,9.698322,7.702242,8.368272,6.240242
20210101030000,0.0,75.686325,101160.55,101176.76,299.25134,25564.824,9.702576,8.380392,8.40545,6.8846874
20210101040000,0.0,71.24071,101189.92,101193.94,299.98404,26305.576,10.094,8.509758,8.734602,7.067148
20210101050000,0.0,68.23624,101181.3,101188.234,300.55267,26728.084,10.1178875,8.226091,8.735686,6.8616123
20210101060000,0.0,65.5625,101122.42,101128.97,301.08325,27041.21,10.046448,7.3315105,8.732887,6.1086006
20210101070000,0.0,62.8742,100985.3,101000.53,301.54926,27332.318,9.719231,6.798441,8.48531,5.5972347
20210101080000,0.0,59.651855,100886.92,100889.45,302.21252,27638.486,9.097343,6.455492,8.003574,5.3536854
20210101090000,0.0,58.232246,100810.8,100828.15,302.64294,27766.785,9.011536,6.489958,7.9206877,5.385084
20210101100000,0.0,57.96965,100780.14,100811.36,302.74765,27789.445,9.302492,6.2241554,8.164498,5.139385
20210101110000,0.0,59.648376,100823.266,100848.94,302.435,27642.037,9.711554,5.9801636,8.577522,4.918844
20210101120000,0.0,65.11529,100859.266,100879.52,301.96814,27081.82,9.375805,4.8758717,8.266015,3.966467
20210101130000,0.0,70.78447,100941.89,100957.49,300.9668,26350.842,9.859638,3.9370422,8.55941,3.197071
20210101140000,0.0,74.12107,101024.42,101045.78,300.31354,25864.514,10.047878,4.0840645,8.625252,3.2918968
20210101150000,0.0,75.01392,101085.42,101096.75,300.04092,25713.16,9.21213,4.7684326,7.9226894,3.8768406
20210101160000,0.0,75.70039,101107.55,101127.93,299.8393,25590.342,8.892947,5.018915,7.7363377,4.060198
20210101170000,0.0,75.97264,101098.17,101110.086,299.59918,25518.014,8.661144,5.486677,7.506016,4.469679
20210101180000,0.0,73.62666,101015.14,101033.02,299.4397,25941.893,7.3831415,5.420925,6.3922443,4.3637447
20210101190000,0.0,73.3528,101005.016,101022.56,299.2668,25995.0,7.2415476,5.794796,6.249092,4.669401
20210101200000,0.0,74.811844,100946.89,100961.81,298.97827,25726.842,6.6647387,6.0491695,5.7980022,4.910887
20210101210000,0.0,74.91469,100909.89,100921.87,298.81482,25710.516,6.520089,5.782051,5.7170963,4.6486225
20210101220000,0.0,75.02811,100907.766,100924.06,298.6773,25693.814,6.3840523,5.5583076,5.6299887,4.480562
20210101230000,0.0,74.780556,100911.05,100923.77,298.5265,25733.09,5.836934,5.6546803,5.207938,4.577408
20210102000000,0.0,76.16012,100894.89,100909.61,298.69394,25368.502,4.4747047,3.860201,4.0859585,3.2027245
20210102010000,0.0,77.02523,100971.89,100984.71,298.52765,25172.621,5.1163197,3.8803024,4.616765,3.2246037
20210102020000,0.0,76.45111,101074.17,101088.44,298.65204,25423.04,5.3933163,4.4173374,4.9046316,3.6802788
20210102030000,0.0,73.31326,101138.05,101153.73,299.263,26005.0,5.1978645,5.2847233,4.684284,4.5139885
20210102040000,0.0,67.88269,101138.05,101147.44,300.3911,26783.047,4.9701996,5.7828026,4.368663,4.974182
20210102050000,0.0,62.60594,101107.8,101120.61,301.58154,27367.434,4.6775236,5.536484,4.051839,4.7349434
20210102060000,0.0,61.85451,101031.55,101045.8,302.327,27435.705,6.3879766,6.1070557,5.6639986,5.104164
20210102070000,0.0,60.87716,100906.17,100925.55,302.9347,27524.924,5.7232914,5.6894455,5.0352364,4.744047
20210102080000,0.0,60.88288,100812.05,100827.12,303.31805,27516.443,5.266712,4.7095814,4.6026487,3.8802185
20210102090000,0.0,62.131443,100710.3,100721.04,303.44653,27396.055,4.539241,4.34527,3.7907314,3.542881
20210102100000,0.0,64.32744,100678.05,100692.23,303.44354,27147.525,3.2180204,3.8628216,2.3921309,3.0175514
20210102110000,0.0,65.55171,100731.42,100743.38,303.3305,27002.39,2.3222446,3.6784039,1.5579147,2.8675232
20210102120000,0.0,68.36848,100751.34,100761.19,302.93353,26676.229,2.1715393,3.3973026,1.349781,2.6296177
20210102130000,0.0,70.18587,100809.17,100822.734,302.3063,26466.488,5.2537346,2.693039,4.100317,2.050352
20210102140000,0.0,78.00006,100895.89,100907.87,301.1939,25066.904,8.099924,2.2646828,6.92293,1.6200371
20210102150000,0.0,81.24852,100935.67,100950.32,300.70404,24297.074,8.28924,3.1359425,7.1486607,2.412901
20210102160000,0.0,81.77968,100955.42,100970.2,300.53494,24155.0,7.9558907,3.567398,6.916733,2.7974682
20210102170000,0.0,82.158615,100937.67,100956.016,300.41772,24042.0,7.3217564,3.9992714,6.4472847,3.1457558
20210102180000,0.0,77.99805,100946.42,100956.4,300.29962,25097.0,5.90543,3.767767,5.3018045,3.0965366
20210102190000,0.0,79.14572,100900.92,100918.59,300.05023,24837.0,6.067898,4.194641,5.511688,3.385025
20210102200000,0.0,77.71486,100852.47,100865.83,299.8576,25191.0,5.9507704,4.542799,5.3328447,3.6809425
20210102210000,0.0,77.35214,100796.8,100816.15,299.64325,25259.969,6.062171,4.6350784,5.4102097,3.696352
20210102220000,0.0,77.82339,100795.3,100805.336,299.42276,25151.229,5.617277,5.0745316,5.0058403,4.150941
20210102230000,0.0,78.338486,100789.8,100799.234,299.27167,25000.0,4.882186,4.9380245,4.4340897,4.015394
20210103000000,0.0,79.27317,100795.39,100814.086,299.30496,24763.51,4.4108696,3.7885647,4.0943165,3.0631752
20210103010000,0.0,80.24164,100896.89,100902.61,299.16812,24495.13,4.5296383,3.4651814,4.184902,2.8560314
20210103020000,0.0,79.9477,100982.016,100989.73,299.30328,24634.271,4.441703,3.5114174,4.1052427,2.8961477
20210103030000,0.0,78.26386,101045.89,101057.26,299.87537,25029.0,4.4890337,4.256756,4.161312,3.567195
20210103040000,0.0,74.272125,101044.17,101059.49,300.95398,25809.0,5.2743187,4.981125,4.6708403,4.180588
20210103050000,0.015625,70.9915,100994.89,101016.414,301.9076,26354.29,5.9570093,5.37022,5.2498255,4.4612694
20210103060000,0.0625,70.27784,100939.92,100955.62,302.18372,26448.71,6.3285885,3.9523506,5.5630016,3.1698847
20210103070000,0.046875,70.94816,100848.17,100856.59,302.31647,26343.014,6.949481,3.4111137,6.175252,2.758381
20210103080000,0.0625,72.545074,100719.64,100745.3,302.22363,26070.31,7.114506,2.8061028,6.314749,2.2229052
20210103090000,0.171875,74.40618,100672.516,100683.34,302.02536,25755.71,6.938283,2.8848686,6.0778246,2.3280277
20210103100000,0.078125,75.53318,100659.69,100679.484,301.84396,25544.848,5.7721615,2.885168,5.2004004,2.399333
20210103110000,0.125,75.26927,100685.64,100695.664,301.9711,25648.113,3.823513,3.2381344,3.5284605,2.7111397
20210103120000,0.0,77.38661,100682.69,100693.0,302.04892,25179.047,1.9705944,3.3674374,1.7487488,2.7848864
20210103130000,0.0,80.908775,100726.06,100746.44,301.7682,24280.033,0.3949442,2.3950424,0.1454897,1.8630295
20210103140000,0.0,79.03107,100824.19,100834.28,301.58533,24846.092,1.2870026,1.7070007,1.0159016,1.2283325
20210103150000,0.0,79.826096,100890.266,100907.22,301.13373,24634.273,2.8069248,2.01334,2.4121132,1.6279888
20210103160000,0.0,80.74551,100919.766,100938.57,300.66925,24374.531,4.801403,2.1337833,4.2408667,1.6378336
20210103170000,0.0,80.702644,100943.44,100946.52,300.38208,24379.547,5.497406,3.5116863,4.9101067,2.6833076
