TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,82.44289,100976.67,101011.63,298.6058,23803.58,9.330633,9.795258,7.8595867,7.8828564
20210101020000,0.0,81.66463,101095.14,101109.4,298.6012,24047.076,9.463947,10.092867,8.024522,8.208992
20210101030000,0.0,80.123825,101176.55,101200.76,298.7826,24444.824,9.405701,10.646017,8.0617,8.697187
20210101040000,0.0,75.42821,101189.92,101217.94,299.5153,25489.576,9.890875,10.603508,8.531477,8.770273
20210101050000,0.0,72.17374,101181.3,101212.234,300.11517,26072.084,9.9303875,9.944841,8.579436,8.267862
20210101060000,0.0,68.5,101122.42,101149.97,300.70825,26641.21,10.483948,9.003386,9.092262,7.4992256
20210101070000,0.0,65.6242,100985.3,101017.53,301.11176,27012.318,10.531731,8.376566,9.063435,6.8784847
20210101080000,0.0,62.495605,100886.92,100907.45,301.74377,27342.486,10.253593,8.033617,8.941074,6.6036854
20210101090000,0.0,61.419746,100826.8,100848.15,302.08044,27446.785,10.058411,7.802458,8.733188,6.369459
20210101100000,0.0,61.78215,100812.14,100831.36,302.06015,27413.445,9.943117,7.1772804,8.617623,5.826885
20210101110000,0.0,64.02338,100839.266,100868.94,301.71625,27194.037,9.914679,6.6989136,8.561897,5.403219
20210101120000,0.0,68.42779,100875.266,100895.52,301.28064,26689.82,9.29768,6.0164967,7.93789,4.919592
20210101130000,0.0,72.90947,100957.89,100973.49,300.49805,26070.842,9.765888,5.046417,8.293785,4.087696
20210101140000,0.0,74.30857,101024.42,101057.78,300.18854,25840.514,9.532253,5.6153145,7.984627,4.635647
20210101150000,0.0,75.45142,101085.42,101106.75,299.91592,25633.16,8.71213,6.4090576,7.2820644,5.1893406
20210101160000,0.0,77.01289,101123.55,101145.93,299.62054,25326.342,8.455447,6.65954,7.1113377,5.403948
20210101170000,0.0,78.16014,101098.17,101128.086,299.34918,25062.014,8.411144,7.221052,7.099766,5.907179
20210101180000,0.0,76.87666,101031.14,101047.02,299.1272,25325.893,7.3050165,7.2178,6.0797443,5.8324947
20210101190000,0.0,77.1653,101021.016,101036.56,298.8918,25251.0,7.3040476,7.841671,6.077217,6.263151
20210101200000,0.0,78.874344,100962.89,100977.81,298.57202,24862.842,7.0553637,7.9866695,5.9542522,6.489012
20210101210000,0.0,78.85219,100925.89,100937.87,298.43982,24870.516,7.254464,7.860176,6.2014713,6.3673725
20210101220000,0.0,78.71561,100923.766,100936.06,298.3023,24925.814,7.0559273,7.9489326,6.0362387,6.355562
20210101230000,0.0,78.280556,100911.05,100937.77,298.18274,25013.09,6.555684,7.9984303,5.661063,6.405533
20210102000000,0.0,77.78512,100894.89,100921.61,298.5377,25120.502,5.5528297,6.219576,4.8359585,5.0620995
20210102010000,0.0,78.40023,100971.89,100996.71,298.3714,24980.621,5.6788197,6.2865524,4.88239,5.1152287
20210102020000,0.0,77.26361,101074.17,101102.44,298.5583,25279.04,5.9089413,6.5423374,5.1858816,5.383404
20210102030000,0.0,73.68826,101138.05,101163.73,299.29425,25933.0,6.2603645,7.5972233,5.559284,6.3577385
20210102040000,0.0,68.88269,101138.05,101153.44,300.35986,26631.047,6.9076996,8.220303,6.087413,6.9194946
20210102050000,0.0,65.04344,101107.8,101126.61,301.33154,27071.434,7.4900236,7.880234,6.5909014,6.5943184
20210102060000,0.0,65.41701,101031.55,101057.8,301.84262,27011.705,7.9661016,8.247681,7.0077486,6.901039
20210102070000,0.0,64.03341,100906.17,100937.55,302.51282,27164.924,7.2857914,7.8456955,6.464924,6.5018597
20210102080000,0.0,63.75788,100812.05,100839.12,302.9743,27188.443,7.532337,6.9595814,6.610461,5.606781
20210102090000,0.0,64.94394,100710.3,100731.04,303.10278,27036.055,7.804866,6.43902,6.8844814,5.1288185
20210102100000,0.0,67.10869,100678.05,100706.23,303.0373,26755.525,8.62427,5.8940716,7.704631,4.634739
