TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,71.94289,100960.67,100951.63,300.2308,26243.58,8.627508,2.2640076,8.031462,1.8828564
20210101020000,0.0,71.22713,101047.14,101049.4,300.2262,26335.076,8.901447,2.452242,8.258897,2.037117
20210101030000,0.0,70.561325,101144.55,101146.76,300.2201,26428.824,8.686951,2.896017,8.0617,2.4315624
20210101040000,0.0,69.42821,101173.92,101173.94,300.23404,26601.576,7.7815,3.306633,7.250227,2.9265232
20210101050000,0.0,67.67374,101181.3,101173.234,300.52142,26832.084,6.3991375,3.8042164,5.8919363,3.4241123
20210101060000,0.0,66.0625,101122.42,101123.97,300.70825,27033.21,6.2964478,2.7533855,5.8266373,2.4679756
20210101070000,0.0,62.9367,101001.3,101001.53,301.28363,27364.318,5.3286057,3.017191,4.8446846,2.7847347
20210101080000,0.0,61.933105,100886.92,100897.45,301.46252,27462.486,3.2067184,3.314867,2.8160744,3.1505604
20210101090000,0.0,63.919746,100826.8,100836.15,301.20544,27254.785,0.52716064,3.8493328,0.24881268,3.7288342
20210101100000,0.0,69.59465,100828.14,100825.36,300.49765,26565.445,1.5256329,3.6147804,1.6792517,3.4831352
20210101110000,0.0,73.08588,100855.266,100856.94,300.1225,26002.037,1.5696964,3.1832886,1.7506027,2.9969692
20210101120000,0.0,76.36529,100875.266,100873.52,300.2494,25369.82,0.1085701,2.2821217,0.24960995,2.169592
20210101130000,0.0,69.78447,100941.89,100939.49,301.2793,26550.842,2.9065132,1.1089172,2.49691,0.9783211
20210101140000,0.0,68.30857,101024.42,101017.78,301.68854,26752.514,6.8603783,0.09968948,6.281502,0.00497818
20210101150000,0.0,70.51392,101053.42,101060.75,301.32217,26449.16,9.571505,0.9715576,8.860189,0.7830906
20210101160000,0.0,70.76289,101091.55,101089.93,301.18304,26414.342,9.111697,1.5189152,8.501963,1.2789478
20210101170000,0.0,70.53514,101066.17,101070.086,301.03668,26446.014,8.614269,1.4710522,8.052891,1.1728039
20210101180000,0.0,67.06416,100999.14,101005.02,301.03345,26917.893,6.9456415,1.7178001,6.6422443,1.3949947
20210101190000,0.0,66.1653,100989.016,100990.56,300.92307,27019.0,6.3040476,1.857296,6.092842,1.4975262
20210101200000,0.0,65.124344,100930.89,100933.81,300.79077,27126.842,5.3678637,2.6116695,5.2198772,2.2702618
20210101210000,0.0,64.22719,100893.89,100895.87,300.59607,27222.516,4.410714,2.797676,4.2795963,2.5079975
20210101220000,0.0,63.965607,100907.766,100906.06,300.39606,27253.814,4.1340523,2.4176826,4.0674887,2.1993122
20210101230000,0.0,65.280556,100911.05,100901.77,300.12024,27117.09,3.883809,2.5296803,3.6923132,2.2492828
20210102000000,0.0,65.22262,100878.89,100879.61,300.81894,27104.502,2.7715797,1.6883259,2.8359585,1.4995995
20210102010000,0.0,65.08773,100955.89,100954.71,300.6839,27124.621,3.2100697,1.2240524,3.22614,1.0839787
20210102020000,0.0,66.13861,101074.17,101066.44,300.4958,27007.04,3.7058163,1.5110874,3.6390066,1.3677788
20210102030000,0.0,67.31326,101154.05,101145.73,300.29425,26877.0,3.2291145,2.3315983,3.2311592,2.1233635
20210102040000,0.0,67.44519,101170.05,101159.44,300.10986,26855.047,2.0951996,2.5171776,2.0561628,2.3648071
20210102050000,0.0,66.66844,101155.8,101148.61,300.08154,26943.434,0.7868986,2.4114838,0.8018389,2.274006
20210102060000,0.0,66.04201,101079.55,101077.8,300.37387,27019.705,1.2942266,1.7008057,1.2343111,1.6197891
20210102070000,0.0,66.81466,100970.17,100965.55,300.32532,26932.924,0.3860836,1.8144455,0.49601364,1.7831097
20210102080000,0.0,67.57038,100860.05,100859.12,300.3493,26828.443,2.4989128,1.5220814,2.4832888,1.434906
20210102090000,0.0,66.78769,100758.3,100753.04,300.75903,26932.055,3.1170092,1.4546452,3.1155186,1.4100685
20210102100000,0.0,65.82744,100726.05,100726.23,301.19354,27051.525,3.4851046,1.2534466,3.4125566,1.1659889
20210102110000,0.0,64.61421,100747.42,100759.38,301.5805,27186.39,3.0215054,0.85027885,2.9420853,0.7737732
