TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,74.94289,100976.67,100973.63,299.6058,25715.58,9.549383,5.1858826,8.453337,4.2266064
20210101020000,0.0,74.53963,101063.14,101067.4,299.6012,25799.076,9.698322,5.577242,8.587022,4.552742
20210101030000,0.0,73.686325,101160.55,101162.76,299.62634,25940.824,9.624451,6.224142,8.53045,5.1659374
20210101040000,0.0,70.42821,101189.92,101181.94,300.10904,26457.576,9.62525,6.478508,8.484602,5.457773
20210101050000,0.0,67.17374,101181.3,101174.234,300.70892,26888.084,9.3366375,6.5385914,8.188811,5.5647373
20210101060000,0.0,64.5625,101122.42,101122.97,301.14575,27185.21,9.187073,5.6752605,8.107887,4.8273506
20210101070000,0.0,61.6867,101001.3,100994.53,301.73676,27476.318,8.609856,5.376566,7.6259346,4.5191097
20210101080000,0.0,58.901855,100886.92,100885.45,302.3219,27734.486,7.4098434,5.127367,6.5816994,4.4005604
20210101090000,0.0,56.388496,100810.8,100818.15,302.89294,27942.785,6.4490356,5.364958,5.6238127,4.650709
20210101100000,0.0,55.0009,100796.14,100799.36,303.24765,28053.445,5.693117,5.2710304,4.8363733,4.545635
20210101110000,0.0,55.210876,100839.266,100834.94,303.27875,28026.037,5.8365536,5.0739136,4.9368973,4.356344
20210101120000,0.0,59.115288,100859.266,100861.52,302.96814,27697.82,6.26643,3.7977467,5.328515,3.185217
20210101130000,0.0,64.03447,100941.89,100937.49,302.06055,27214.842,8.531513,2.8589172,7.46566,2.337696
20210101140000,0.0,71.87107,101024.42,101031.78,300.87604,26240.514,10.297878,2.5996895,9.140877,2.0575218
20210101150000,0.0,74.07642,101069.42,101082.75,300.47842,25881.16,9.83713,3.3309326,8.719564,2.7049656
20210101160000,0.0,74.07539,101107.55,101111.93,300.3393,25894.342,9.252322,3.5345402,8.314463,2.8570728
20210101170000,0.0,73.84764,101082.17,101094.086,300.16168,25926.014,8.864269,3.8773022,7.943516,3.1571789
20210101180000,0.0,70.75166,101015.14,101021.02,300.1272,26397.893,7.3987665,3.8584251,6.6891193,3.1293697
20210101190000,0.0,69.7278,101005.016,101012.56,299.9543,26547.0,7.0384226,4.044796,6.342842,3.3100262
20210101200000,0.0,69.811844,100946.89,100953.81,299.69702,26526.842,6.2584887,4.4554195,5.6886272,3.6921368
20210101210000,0.0,70.22719,100909.89,100913.87,299.50232,26462.516,5.738839,4.172676,5.2014713,3.4142475
20210101220000,0.0,70.77811,100923.766,100918.06,299.33356,26389.814,5.4934273,3.7770576,5.0518637,3.1211872
20210101230000,0.0,70.968056,100911.05,100913.77,299.18274,26365.09,4.993184,3.9046803,4.582938,3.2180328
20210102000000,0.0,70.34762,100894.89,100899.61,299.63144,26424.502,3.5840797,2.344576,3.4609585,2.0152245
20210102010000,0.0,71.58773,100971.89,100974.71,299.46515,26236.621,4.4444447,2.2396774,4.22614,1.8964787
20210102020000,0.0,72.95111,101074.17,101078.44,299.3083,26055.04,4.8464413,2.8860874,4.5608816,2.4459038
20210102030000,0.0,73.06326,101154.05,101151.73,299.3255,26053.0,4.3697395,3.6753483,4.059284,3.2171135
20210102040000,0.0,70.32019,101154.05,101153.44,299.79736,26487.047,3.4233246,4.0171776,3.0483503,3.5601196
20210102050000,0.0,66.79344,101123.8,101138.61,300.4878,26927.434,2.4275236,3.8021088,2.0674639,3.367756
20210102060000,0.0,62.85451,101047.55,101051.8,301.87387,27363.705,3.8879766,4.1851807,3.3827486,3.6041641
20210102070000,0.0,62.03341,100938.17,100935.55,302.3097,27436.924,2.5045414,3.8300705,2.0039864,3.3065472
20210102080000,0.0,63.28913,100844.05,100843.12,302.23993,27316.443,1.2510872,2.8502064,0.84483624,2.4895935
