TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,71.06789,100928.67,100921.63,301.3558,26355.58,3.5650082,1.0765076,3.3908367,1.0547314
20210101020000,0.0078125,70.10213,101031.14,101021.4,301.4762,26511.076,3.8389473,0.6241169,3.7276468,0.615242
20210101030000,0.03125,69.873825,101128.55,101120.76,301.4701,26548.824,4.2807007,0.36476707,4.1242,0.32218742
20210101040000,0.0390625,69.61571,101141.92,101147.94,301.3903,26577.576,4.1565,0.666008,3.984602,0.6452732
20210101050000,0.0,69.48624,101165.3,101164.234,301.27142,26600.084,4.1647625,0.8198414,4.0638113,0.7366123
20210101060000,0.0,72.125,101138.42,101135.97,300.89575,26217.21,2.6870728,1.3002605,2.6860123,1.2179756
20210101070000,0.0,70.8117,101033.3,101033.53,300.92426,26412.318,2.8754807,0.89219093,2.8446846,0.8941097
20210101080000,0.0,69.245605,100918.92,100923.45,300.91565,26630.486,2.3160934,0.549242,2.2848244,0.5255604
20210101090000,0.0,68.66975,100874.8,100866.15,300.89294,26702.785,2.1209106,0.5055828,2.1238127,0.49445915
20210101100000,0.0,68.53215,100844.14,100835.36,300.8414,26717.445,1.8181171,0.5991554,1.8519983,0.5456352
20210101110000,0.0,68.52338,100871.266,100866.94,300.81,26722.037,1.4303036,0.8239136,1.4681473,0.8407192
20210101120000,0.0,70.11529,100875.266,100875.52,300.9994,26513.82,0.8601799,0.71962166,0.92226505,0.6695919
20210101130000,0.0,69.47197,100925.89,100931.49,300.99805,26606.842,0.0002632141,0.12545776,0.121910095,0.22480392
20210101140000,0.0,69.87107,100992.42,100995.78,301.0948,26544.514,0.34274673,0.7596855,0.34349823,0.7862282
20210101150000,0.0,69.13892,101037.42,101046.75,301.22842,26633.16,0.2409954,0.5909424,0.24918556,0.5919094
20210101160000,0.0,69.57539,101091.55,101093.93,301.2768,26582.342,1.1116972,0.5123348,1.0644627,0.50230217
20210101170000,0.0,72.72264,101082.17,101082.086,301.16168,26110.014,2.9111443,1.2789478,2.7872658,1.2334461
