TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,87.06789,101008.67,101033.63,298.26205,22203.58,8.033758,11.764008,6.8908367,9.929731
20210101020000,0.0,86.22713,101127.14,101135.4,298.2262,22535.076,8.167072,11.936617,6.977647,10.115242
20210101030000,0.0,85.061325,101208.55,101226.76,298.3451,22940.824,8.030701,12.161642,6.90545,10.322187
20210101040000,0.0,80.80321,101221.92,101243.94,298.98404,24281.576,8.578375,11.791008,7.406477,10.067148
20210101050000,0.0,77.11124,101213.3,101239.234,299.58392,25176.084,8.8991375,11.069841,7.7356863,9.455362
20210101060000,0.0,72.625,101154.42,101175.97,300.177,26017.21,9.624573,10.269011,8.357887,8.749226
20210101070000,0.0,69.4367,101017.3,101040.53,300.53363,26524.318,9.891106,9.642191,8.61031,8.159735
20210101080000,0.0,66.870605,100918.92,100931.45,301.05627,26830.486,9.800468,9.017992,8.644199,7.6349354
20210101090000,0.0,65.85725,100858.8,100874.15,301.3617,26958.785,9.745911,8.427458,8.592563,7.135084
20210101100000,0.0,66.34465,100844.14,100855.36,301.31015,26909.445,9.896242,7.7085304,8.711373,6.483135
20210101110000,0.0,68.08588,100871.266,100888.94,301.02875,26738.037,9.805304,7.3707886,8.577522,6.168844
20210101120000,0.0,70.67779,100891.266,100913.52,300.78064,26393.82,9.344555,6.8446217,8.15664,5.763342
20210101130000,0.0,73.09697,100957.89,100987.49,300.3418,26046.842,9.875263,6.312042,8.481285,5.353321
20210101140000,0.0,73.80857,101040.42,101067.78,300.2198,25928.514,9.391628,6.8653145,8.015877,5.823147
20210101150000,0.0,75.76392,101101.42,101118.75,299.94717,25585.16,8.477755,7.5809326,7.1570644,6.3612156
20210101160000,0.0,77.76289,101139.55,101159.93,299.6518,25174.342,8.033572,7.862665,6.8769627,6.638323
20210101170000,0.0,79.59764,101114.17,101144.086,299.34918,24750.014,7.7392693,8.549177,6.599766,7.266554
20210101180000,0.0,79.43916,101047.14,101061.02,299.03345,24789.893,6.4143915,8.7178,5.4703693,7.4418697
20210101190000,0.0,80.4778,101037.016,101048.56,298.7668,24531.0,6.2571726,9.435421,5.311592,7.966276
20210101200000,0.0,82.249344,100978.89,100993.81,298.41577,24030.842,5.9772387,9.79917,5.1261272,8.317137
20210101210000,0.0,82.35219,100941.89,100957.87,298.25232,23990.516,6.129464,9.766426,5.3264713,8.3204975
20210101220000,0.0,82.15311,100939.766,100952.06,298.14606,24045.814,5.9778023,9.870808,5.1456137,8.402437
20210101230000,0.0,81.780556,100943.05,100953.77,297.99524,24125.09,5.571309,10.014055,4.864188,8.499283
20210102000000,0.0,79.22262,100910.89,100937.61,298.50644,24776.502,5.0059547,8.719576,4.4297085,7.4214745
20210102010000,0.0,79.52523,100987.89,101012.71,298.40265,24716.621,5.0381947,8.614677,4.44489,7.3496037
20210102020000,0.0,78.45111,101106.17,101120.44,298.52704,24943.04,5.3933163,8.667337,4.8265066,7.414654
20210102030000,0.0,75.62576,101154.05,101179.73,299.10675,25493.0,5.8384895,9.565973,5.215534,8.2483635
20210102040000,0.0,72.38269,101154.05,101171.44,299.92236,26047.047,6.6889496,10.032803,5.9233503,8.661682
20210102050000,0.0,70.35594,101123.8,101142.61,300.51904,26359.434,7.0993986,9.723984,6.286214,8.359943
20210102060000,0.0,70.72951,101047.55,101077.8,300.99887,26307.705,7.2004766,9.607056,6.328061,8.213539
20210102070000,0.0,68.97091,100938.17,100957.55,301.6847,26564.924,6.8014164,8.7988205,6.0508614,7.494047
20210102080000,0.0,69.07038,100844.05,100863.12,302.0368,26524.443,7.501087,7.5220814,6.6182737,6.216156
20210102090000,0.015625,70.60019,100726.3,100755.04,302.04028,26292.055,7.679866,6.610895,6.736044,5.417881
20210102100000,0.0,72.98369,100710.05,100732.23,301.88104,25899.525,8.389895,6.0815716,7.3374434,4.900364
20210102110000,0.0,75.11421,100763.42,100785.38,301.61176,25530.39,9.15037,5.944029,7.987602,4.8128357
20210102120000,0.0,78.36848,100783.34,100799.19,301.21478,24924.229,9.218414,5.8348026,7.9669685,4.7077427
