TIME,TOTAL_PRECIPITATION,HUMIDITY,SURFACE_PRESSURE,SEA_LEVEL_PRESSURE,TEMPERATURE,VISIBILITY,WIND_U_COMPONENT,WIND_V_COMPONENT,WIND_U_COMPONENT_2,WIND_V_COMPONENT_2
20210101010000,0.0,70.25539,100928.67,100923.63,301.32455,26475.58,3.9712582,0.67025757,3.7970867,0.60160637
20210101020000,0.0078125,69.78963,101031.14,101025.4,301.3512,26551.076,4.5264473,0.4209919,4.415147,0.365242
20210101030000,0.015625,69.248825,101128.55,101122.76,301.31384,26620.824,4.9994507,0.34914207,4.827325,0.29093742
20210101040000,0.015625,68.99071,101157.92,101151.94,301.2028,26657.576,4.828375,0.666008,4.656477,0.5983982
20210101050000,0.0,68.73624,101165.3,101168.234,301.14642,26696.084,4.6803875,0.9292164,4.5638113,0.7834873
20210101060000,0.0,69.9375,101138.42,101136.97,300.89575,26529.21,3.4058228,1.2065105,3.4047623,1.0929756
20210101070000,0.0,68.6242,101033.3,101034.53,300.8305,26700.318,3.3129807,0.73594093,3.3134346,0.7222347
20210101080000,0.0,67.745605,100918.92,100925.45,300.72815,26814.486,2.4254684,0.28361702,2.4879494,0.22868538
20210101090000,0.0,67.6385,100874.8,100870.15,300.6742,26830.785,2.1209106,0.2555828,2.1238127,0.26008415
20210101100000,0.0,67.53215,100844.14,100839.36,300.62265,26853.445,1.6462421,0.47415543,1.7113733,0.43626022
20210101110000,0.0,67.33588,100871.266,100866.94,300.6225,26866.037,1.0084286,0.8707886,1.0618973,0.8563442
20210101120000,0.0,69.36529,100875.266,100875.52,300.8119,26609.82,0.1101799,0.78212166,0.21914005,0.6539669
20210101130000,0.0,69.78447,100925.89,100927.49,300.87305,26550.842,0.7809868,0.015167236,0.6905899,0.099803925
20210101140000,0.0,69.99607,100992.42,100995.78,301.00104,26520.514,0.88962173,0.46281052,0.92162323,0.45810318
20210101150000,0.0,69.51392,101053.42,101052.75,301.07217,26593.16,0.08474541,0.41906738,0.061685562,0.4200344
20210101160000,0.0,71.07539,101107.55,101103.93,301.18304,26366.342,2.1116972,0.8248348,2.0332127,0.75230217
20210101170000,0.0,71.84764,101082.17,101080.086,301.28668,26254.014,3.3017693,1.5601978,3.1466408,1.4834461
20210101180000,0.0,69.31416,101015.14,101009.02,301.1897,26613.893,2.4143915,1.5009499,2.2828693,1.5112553
20210101190000,0.0,66.9153,100973.016,100980.56,301.36057,26915.0,2.2102976,0.861454,2.077217,0.87747383
20210101200000,0.0,64.624344,100914.89,100923.81,301.47827,27182.842,2.0084887,0.58041954,1.8448772,0.56713676
20210101210000,0.0,64.16469,100877.89,100879.87,301.47107,27230.516,1.3794641,1.7664261,1.2483463,1.7423725
20210101220000,0.0,65.77811,100875.766,100876.06,301.3023,27053.814,0.8528023,2.7458076,0.8018637,2.7305622
20210101230000,0.0,67.093056,100879.05,100875.77,301.1515,26901.09,0.8369341,3.2953053,0.8329382,3.2336578
20210102000000,0.0,67.34762,100862.89,100865.61,301.50644,26872.502,0.16592026,2.641451,0.17966652,2.6402245
20210102010000,0.0,66.27523,100939.89,100940.71,301.4964,26996.621,0.055555344,2.3021774,0.11760998,2.3027287
20210102020000,0.0,65.70111,101042.17,101048.44,301.52704,27063.04,0.11206627,1.7610874,0.107756615,1.7740288
20210102030000,0.0,65.87576,101138.05,101129.73,301.5755,27045.0,0.86973953,1.5815983,0.7467842,1.6233635
20210102040000,0.0,66.25769,101154.05,101159.44,301.54736,26991.047,1.0951996,0.9390526,0.98585033,1.0210571
20210102050000,0.0,67.16844,101139.8,101142.61,301.5503,26895.434,1.2868986,1.0052338,1.2237139,1.0630684
20210102060000,0.0,66.66701,101063.55,101063.8,301.71762,26955.705,2.5286016,0.12731934,2.421811,0.17708588
20210102070000,0.0,65.34591,100970.17,100971.55,301.6847,27100.924,1.4576664,0.3300705,1.4571114,0.25967216
20210102080000,0.0,64.53913,100876.05,100881.12,301.6618,27188.443,0.7667122,0.7720814,0.86046124,0.6614685
20210102090000,0.0,65.50644,100774.3,100779.04,301.60278,27084.055,0.22638416,1.6733952,0.17801857,1.621006
20210102100000,0.0,65.95244,100742.05,100744.23,301.5998,27027.525,0.67260456,2.5346966,0.55318165,2.494114
20210102110000,0.0,63.95796,100763.42,100767.38,301.7055,27258.39,0.67775536,1.9909039,0.67646027,1.9456482
20210102120000,0.0,62.430977,100767.34,100765.19,301.93353,27412.229,0.8909607,1.2566776,0.88459396,1.1999302
20210102130000,0.0,63.560863,100825.17,100818.734,301.9313,27290.488,1.5900154,0.97428894,1.587183,0.9644146
20210102140000,0.0,65.31256,100879.89,100879.87,301.8814,27114.904,1.8688259,1.0303078,1.8270702,0.9637871
20210102150000,0.0,66.43602,100935.67,100934.32,301.8603,26977.074,1.4763851,1.1984425,1.4763393,1.1941509
20210102160000,0.0,67.65468,100971.42,100962.2,301.8162,26835.0,0.82535934,1.6767731,0.8645172,1.5630932
